Issue;Side-Effect;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Spotbugs;Spotbugs-fbcontrib;Infer;Detekt;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;
SlowForLoop;Runtime;Suboptimal Algorithm;Yes;;✅;✅;;;;;;;;;;;;;The standard version of the for loop is slower than the for-each loop. Therefore, Android developers should always use an enhanced version of the loop to improve the efﬁciency of the app.;;Replace standard for loops with enhanced for-each loops whenever possible. This improves performance and efficiency by avoiding unnecessary index calculations and direct array manipulations.;*.java, *.kt;Warning;SlowForLoop1.txt;SlowForLoop2.txt;A standard for loop is necessary if the index of the element is required for logic beyond simply accessing the element, or if the collection needs to be modified during iteration (e.g., removing elements), which is often unsafe with an enhanced for-each loop.;A developer is processing a collection of user notifications in an Android app. The task involves iterating through an ArrayList of notification objects to filter out expired ones before displaying them to the user. The developer needs to access each element sequentially to check timestamps and update the UI accordingly;uses org.eclipse.jdt ast parser, does not supports kotlin;uses org.eclipse.jdt ast parser, does not supports kotlin;uses org.eclipse.jdt ast parser, does not supports kotlin;uses org.eclipse.jdt ast parser, does not supports kotlin;uses org.eclipse.jdt ast parser, does not supports kotlin
DrawAllocation;Runtime;Resource Management;Yes;;;;✅;;;✅;✅;✅;;;;;;✅;You should avoid allocating objects during a drawing or layout operation. These are called frequently, so a smooth UI can be interrupted by garbage collection pauses caused by the object allocations. The way this is generally handled is to allocate the needed objects up front and to reuse them for each drawing operation. Some methods allocate memory on your behalf (such as Bitmap.create), and these should be handled in the same way.;https://googlesamples.github.io/android-custom-lint-rules/checks/DrawAllocation.md.html;Avoid allocating new objects during drawing or layout operations (e.g onDraw methods). Instead, preallocate objects before drawing and reuse them. Methods like Bitmap.create() should also follow this approach to prevent frequent garbage collection and UI lag. Examples of such methods: android.view.View, android.view.ViewGroup.dispatchDraw, android.graphics.drawable.Drawable.draw, android.view.View.invalidate, android.view.View.postInvalidate, android.view.View.onDrawForeground, android.view.View.onMeasure, android.view.ViewGroup.onLayout, android.view.View.layout, android.view.View.onSizeChanged, ;*.java, *.kt;Warning;DrawAllocation1.txt;DrawAllocation2.txt;Object allocation within onDraw may be unavoidable if the object's properties depend on dynamic values that are only available during the drawing phase, making pre-allocation impossible. For very simple, short-lived objects, the complexity of caching might outweigh the negligible garbage collection overhead.;A developer is implementing a custom view that displays real-time data visualization. The onDraw() method needs to render multiple shapes and paths based on incoming sensor data. The rendering involves creating Paint objects, Rect objects, and other drawing primitives to represent the visualization elements;uses com.github.javaparser.ast, does not support kotlin;uses com.github.javaparser.ast, does not support kotlin;uses com.github.javaparser.ast, does not support kotlin;uses com.github.javaparser.ast, does not support kotlin;uses com.github.javaparser.ast, does not support kotlin
Recycle;Memory;Resource Management, API Misuse;Yes;;;;✅;;;✅;;;;;;;;✅;Many resources, such as TypedArrays, VelocityTrackers, etc., should be recycled (with a recycle() call) after use. This lint check looks for missing recycle() calls.;https://googlesamples.github.io/android-custom-lint-rules/checks/Recycle.md.html;Always call .recycle() on resources such as TypedArray, VelocityTracker, and others after use. This prevents memory leaks and ensures efficient resource management.;*.java, *.kt;Warning;Recycle1.txt;Recycle2.txt;"The object (e.g., a TypedArray) is being managed by a framework or library that takes ownership of its lifecycle. Calling recycle() manually could interfere with the framework and lead to a ""double recycle"" crash.";A developer is implementing a custom theme for UI components using TypedArray. The task involves reading custom attributes from XML styles, applying them to various views in a layout, and then handling the TypedArray resource after extracting all the needed values; com.android.tools.lint.detector.api.Detector.JavaPsiScanner does not support kotlin, but newer versions of Kotlin UAST support; com.android.tools.lint.detector.api.Detector.JavaPsiScanner does not support kotlin, but newer versions of Kotlin UAST support; com.android.tools.lint.detector.api.Detector.JavaPsiScanner does not support kotlin, but newer versions of Kotlin UAST support; com.android.tools.lint.detector.api.Detector.JavaPsiScanner does not support kotlin, but newer versions of Kotlin UAST support; com.android.tools.lint.detector.api.Detector.JavaPsiScanner does not support kotlin, but newer versions of Kotlin UAST support
WakeLock;Energy;Concurrency, Resource Management;Yes;;✅;✅;✅;;✅;✅;;;;;;;;✅;Failing to release a wakelock properly can keep the Android device in a high power mode (which reduces battery life). There are several causes of this, such as releasing the wake lock in onDestroy() instead of in onPause(), failing to call release() in all possible code paths after an acquire(), and so on.NOTE: If you are using the lock just to keep the screen on, you should strongly consider using FLAG_KEEP_SCREEN_ON instead. This window flag will be correctly managed by the platform as the user moves between applications and doesn't require a special permission. ;https://googlesamples.github.io/android-custom-lint-rules/checks/Wakelock.md.html;Ensure wake locks are released properly in onPause() instead of onDestroy(), and always include a release() call in all possible code paths. If keeping the screen on is the only goal, use FLAG_KEEP_SCREEN_ON instead, as it is managed automatically by the platform.;*.java, *.kt;Warning;WakeLock1.txt;WakeLock2.txt;In a service with complex, interwoven asynchronous operations, it can be extremely difficult to guarantee that release() is called in every possible code path. Using a timed WakeLock might be a safer, more robust alternative to prevent a permanent lock, even if a static analyzer can't verify all release paths.;A developer is building a music player service that needs to continue playback when the screen is off. The task involves acquiring a WakeLock in the service that handles audio playback to prevent the CPU from sleeping while music is playing,;usa lint, suports kt;usa lint, suports kt;usa lint, suports kt;usa lint, suports kt;usa lint, suports kt
WakelockTimeout;Energy;Resource Management;Yes;;;;✅;;;;;;;;;;;✅;Wakelocks have two acquire methods: one with a timeout, and one without. You should generally always use the one with a timeout. A typical timeout is 10 minutes. If the task takes longer than it is critical that it happens (i.e. can't use JobScheduler) then maybe they should consider a foreground service instead (which is a stronger run guarantee and lets the user know something long/important is happening).;https://googlesamples.github.io/android-custom-lint-rules/checks/WakelockTimeout.md.html;Always use the wake lock acquire method that includes a timeout. A typical timeout is 10 minutes. If longer execution is needed, consider using a foreground service instead, which ensures the task completes while informing the user.;*.java, *.kt;Warning;WakelockTimeout1.txt;WakelockTimeout2.txt;A task may be critical and uninterruptible, but its duration is unknown (e.g., processing a user-provided file of unknown size). While a foreground service is usually recommended, it might be too intrusive for the user experience, making a non-timed WakeLock a deliberate design choice.;;;;;;
ViewHolder;Runtime;Suboptimal Algorithm, Resource Management;Yes;;;;✅;;;✅;;;;;;;;✅;When implementing a view Adapter, you should avoid unconditionally inflating a new layout. If an available item is passed in for reuse, you should try to use that one instead. This helps make for example ListView scrolling much smoother.;https://googlesamples.github.io/android-custom-lint-rules/checks/ViewHolder.md.html;: In RecyclerView.Adapter and similar adapters, reuse existing views instead of inflating new ones each time. Implement the ViewHolder pattern to improve scrolling performance and reduce unnecessary object creation.;*.java, *.kt;Warning;ViewHolder1.txt;ViewHolder2.txt;For a list with a very small and fixed number of items (e.g., 2-3), a developer might consider the implementation of the ViewHolder pattern to be unnecessary overhead, even though it remains a recommended practice.;A developer is creating a scrollable feed of social media posts using a RecyclerView. The task involves displaying a list of post objects to view items that display user avatars, post content, and interaction buttons as the user scrolls through the timeline.;supports kotlin but offers lacks rule for performance ;supports kotlin but offers lacks rule for performance ;supports kotlin but offers lacks rule for performance ;supports kotlin but offers lacks rule for performance ;supports kotlin but offers lacks rule for performance 
ObsoleteLayoutParam;Runtime;Resource Management, Code Smell;Yes;;;;✅;;;✅;;;;;;;;✅;The given layout_param is not defined for the given layout, meaning it has no effect. This usually happens when you change the parent layout or move view code around without updating the layout params. This will cause useless attribute processing at runtime, and is misleading for others reading the layout so the parameter should be removed.;https://googlesamples.github.io/android-custom-lint-rules/checks/ObsoleteLayoutParam.md.html;Edit the XML file and delete the obsolete parameter that has no effect;*.xml;Warning;ObsoleteLayoutParam1.txt;ObsoleteLayoutParam2.txt;The layout parameter might appear obsolete in the static XML file but could be functional at runtime if the view is programmatically re-parented into a different layout that does recognize and use that specific parameter.;A developer is developing a UI layout and needs to use a LinearLayout. It has to align the views inside the layout(Buttons, TextViews and Images) with each other and with the parent element.;no;no;no;no;no
BLOBClass;Runtime;Code Smell;No;;;;;;;;✅;✅;;;;;;;Blob Class (BLOB) - OO: A Blob class, also know as God class, is a class with a large number of attributes and/or methods [17]. The Blob class handles a lot of responsibilities compared to other classes. Attributes and methods of this class are related to different concepts and processes, implying a very low cohesion. Blob classes are also often associated with numerous data classes. Blob classes are hard to maintain and increase the difﬁculty to modify the software. In PAPRIKA, classes are identiﬁed as Blob classes whenever the metrics numbers_of_attributes, number_of_methods and lack_of_cohesion_in_methods are very high.;; Refactor the large class by splitting it into multiple smaller, cohesive classes with clear responsibilities. Use Single Responsibility Principle (SRP) to ensure each class focuses on a single task. Extract related attributes and methods into separate, more maintainable classes.;*.java, *.kt;Warning;BLOBClass1.txt;BLOBClass2.txt;"The class might be designed as a ""Facade,"" acting as a simplified entry point to a more complex subsystem. While it aggregates many responsibilities, it delegates the actual work to smaller, more cohesive classes, making it a valid design pattern.";A developer is creating the main activity for a messaging application. The task involves handling user authentication, message composition, contact management, media attachment processing, and notification preferences all within a class that serves as the central controller for the application's functionality;;;;;
SwissArmyKnife;Runtime;Code Smell;No;;;;;;;;✅;✅;;;;;;;A Swiss army knife is a class with numerous interface signatures, resulting in a very complex class interface designed to handle a wide diversity obstractions. This type of class is hard to understand and to maintain because of the resulting complexity. A SAK is detected by Paprika when a class implements a large number of interfaces.;;Reduce the number of interfaces a class implements. If multiple interfaces are needed, consider breaking them into smaller, more specialized interfaces (Interface Segregation Principle). This makes the class easier to understand and maintain.;*.java, *.kt;Warning;SwissArmyKnife1.txt;SwissArmyKnife2.txt;In a plugin-based architecture, a central class may need to implement multiple interfaces to be discoverable and usable by different modules or plugins. Its complexity is a trade-off for architectural flexibility.;A developer is building a network utility class for an Android application. The task involves creating a component that implements multiple interfaces to handle different aspects of connectivity, including download management, caching, authentication, encryption, and error handling across the entire application;;;;;
Longmethod;Runtime;Code Smell;No;;;;;;;;✅;✅;;;;;;;Long methods are implemented with much more lines of code than other methods. They are often very complex, and thus hard to understand and main-tain. These methods can be split into smaller methodstofixtheproblem[21]. Paprika iden- tifies a long method when the number of instructions for one method is very high.;;Break long methods into multiple smaller methods, each performing a specific task. Use method extraction to improve readability and maintainability. Follow the Single Responsibility Principle (SRP) to avoid excessive complexity in a single method.;*.java, *.kt;Warning;Longmethod1.txt;Longmethod2.txt;A method implementing a complex, inherently sequential algorithm (like a detailed parser or a state machine) might be clearer as a single, long method rather than being artificially broken into smaller ones, which could obscure the overall logic.;A developer needs to implement a data synchronization feature that processes local data, compares it with server data, resolves conflicts, updates the database, and refreshes the UI. Access to this feature should be provided by a single method;;;;;
